id,ProlificID,Time,Date,Zip,State_full,State,Age,Sex,Preexisting,PerceptionRisk,PFIaffectNeigh,PFINeigh1,PFINeigh6,PFIcountry1,PFIcountry6,WillingnessNeigh,NBTneigh,WillingnessCountry,NBTcountry,InfectedCovid,InfectedCovidLatest,Vaccine
113,5aa3e1cc873cda00010d5681,1,09/26/2020,66712,Kansas,KS,58,2,2,5,4,4,1,6,5,4,4,1,4,0,1,4
114,5aa485b11eda41000136c94b,1,09/26/2020,11432,New York,NY,33,2,1,5,4.5,4,4,5,5,1,4,1,5,0,1,5
115,5ae2641f5cd05500015ece71,1,09/26/2020,43015,Ohio,OH,63,2,1,2,7,7,7,7,7,7,7,6,7,0,1,7
116,5ae8916cf00c7f00018f528d,1,09/26/2020,23325,Virginia,VA,29,1,1,3,3.5,4,6,3,2,3,6,4,5,0,1,5
117,5af5262f1b55800001f4a418,1,09/26/2020,74120,Oklahoma,OK,46,2,1,4,6.5,7,4,7,5,3,7,3,7,0,1,2
118,5b0029933c08a1000156662c,1,09/26/2020,20002,District of Columbia,DC,28,2,1,4,5.5,5,3,2,2,3,5,1,4,0,1,5
119,5b035ba7293d310001026678,1,09/26/2020,60707,Illinois,IL,22,2,1,6,3.75,4,4,5,5,4,6,3,6,0,3,7
120,5b0b4f41641b1200010ecb11,1,09/26/2020,11102,New York,NY,30,0,1,4,5.25,5,3,4,4,1,4,1,5,2,1,5
121,5b0c65c11e55760001b96e90,1,09/26/2020,33558,Florida,FL,47,2,1,7,3.75,4,4,4,4,1,5,1,5,0,1,6
122,5b0fa626bd9c310001568d6c,1,09/26/2020,30076,Georgia,GA,53,2,2,5,5.75,6,4,6,4,1,7,1,7,0,0,7
123,5b1045e0096bf10001e36900,1,09/26/2020,70130,Louisiana,LA,35,1,1,2,5.25,6,5,6,4,6,6,4,6,0,1,4
124,5b1487d330d562000155f1c7,1,09/26/2020,54981,Wisconsin,WI,36,1,1,1,7,7,7,7,7,4,4,4,4,0,1,7
125,5b1c01884c72120001f20193,1,09/26/2020,28312,North Carolina,NC,46,1,1,2,5.5,7,7,7,7,7,7,4,7,0,1,7
126,5b233660648d5b0001b7de87,1,09/26/2020,10308,New York,NY,67,1,2,3,6,5,5,7,7,4,7,4,7,0,1,5
127,5b2557ac8b4002000106cb20,1,09/26/2020,55042,Minnesota,MN,45,1,2,4,5,6,5,6,3,2,7,2,5,0,1,7
128,5b27d79e878ec200017b0eb3,1,09/26/2020,5468,Vermont,VT,38,2,2,4,4.5,5,4,5,4,3,5,1,4,0,2,4
129,5b3e57b3c2e381000175e656,1,09/26/2020,34243,Florida,FL,65,1,2,2,4,4,4,7,4,1,7,1,1,0,1,1
130,5b48e77c369f84000112a85c,1,09/26/2020,27513,North Carolina,NC,50,2,1,3,4.25,5,4,5,4,2,4,2,4,0,1,3
131,5b4f8f3349cdc400012174bb,1,09/26/2020,72501,Arkansas,AR,61,1,1,1,4.5,5,7,7,7,7,7,7,7,0,1,1
132,5b566435d8348500012d2d65,1,09/26/2020,85023,Arizona,AZ,68,2,2,3,6.75,7,5,7,6,5,7,5,5,0,1,5
133,5b56abd5303c330001664b51,1,09/26/2020,62285,Illinois,IL,35,2,1,3,5.5,5,2,5,5,5,5,2,4,0,1,1
134,5b5a822e1ad8270001c4f28d,1,09/26/2020,90744,California,CA,39,1,1,4,1,1,1,7,5,1,7,1,7,2,1,7
135,5b5b715192d8320001510a11,1,09/26/2020,33131,Florida,FL,46,1,1,3,6.5,7,7,5,4,7,7,7,7,0,1,5
136,5b5e7e643bac1d0001f9bf28,1,09/26/2020,98672,Washington,WA,32,1,1,3,6.5,7,5,4,4,4,7,4,6,0,1,7
137,5b619b6c5256470001bcf992,1,09/26/2020,30094,Georgia,GA,41,2,1,4,6.75,7,5,7,6,5,6,4,6,0,1,5
138,5b6bacf00afa6f000107210f,1,09/26/2020,1772,Massachusetts,MA,61,2,1,4,3.5,3,1,5,3,3,6,1,4,0,1,4
139,5b6f3b97f99bcd0001712b28,1,09/26/2020,28304,North Carolina,NC,32,1,1,1,4,3,1,7,7,7,7,7,7,2,2,3
140,5b6f49b7d60bdd0001ade437,1,09/26/2020,14075,New York,NY,65,1,1,4,7,7,4,7,7,2,7,1,7,0,1,7
141,5b72d1b972a6fc0001b2abc2,1,09/26/2020,78259,Texas,TX,26,1,1,2,5.25,6,4,6,4,3,7,3,7,0,2,7
142,5b745fb794c93d00010fc4c6,1,09/26/2020,97404,Oregon,OR,44,1,1,3,4.5,5,2,6,3,1,5,1,5,0,1,4
143,5b77150a87d85f0001b9914f,1,09/26/2020,29229,South Carolina,SC,56,1,1,2,4.5,5,4,5,4,1,7,1,5,0,1,7
144,5b7e118e87d85f0001baac27,1,09/26/2020,44035,Ohio,OH,64,2,2,5,6.25,6,6,6,6,3,7,3,6,0,1,4
145,5b846b48338a930001566887,1,09/26/2020,94597,California,CA,68,1,2,5,3,2,4,5,5,4,4,5,6,0,1,6
146,5b91f3f9d99ca20001ef6d8b,1,09/26/2020,62881,Illinois,IL,59,2,2,4,5.5,6,4,5,4,2,6,1,4,0,1,4
147,5b93b5481b20d100018f0b97,1,09/26/2020,33708,Florida,FL,73,1,2,3,5.25,5,4,6,4,5,7,5,6,0,1,5
148,5b97f8988ae8150001c7a887,1,09/26/2020,46394,Indiana,IN,42,1,1,5,5.5,6,5,6,5,4,6,4,6,0,1,5
149,5ba0795124593f000174f263,1,09/26/2020,75067,Texas,TX,33,2,2,4,5.25,5,3,5,4,3,5,3,5,0,1,2
150,5ba18771e671c600012322e4,1,09/26/2020,50315,Iowa,IA,47,2,2,7,1.5,1,1,4,3,1,4,1,5,3,3,4
151,5ba345bcf07414000106135e,1,09/26/2020,7071,New Jersey,NJ,59,1,1,2,4.5,5,4,5,5,4,6,4,5,0,1,4
152,5bc2c49f83f9420001011bf8,1,09/26/2020,94565,California,CA,52,1,1,3,6.25,7,4,7,6,4,6,2,6,0,1,7
153,5bc5552a23ecbb00012d6cb5,1,09/26/2020,74543,Oklahoma,OK,64,2,1,3,3,3,3,5,4,1,4,1,5,0,1,6
154,5bc9f8b677740000016a08b5,1,09/26/2020,30106,Georgia,GA,45,2,1,3,5.75,7,4,7,5,1,7,1,7,0,1,7
155,5bcce104fb569300011753dd,1,09/26/2020,7748,New Jersey,NJ,46,1,2,5,6.75,6,7,7,6,5,5,5,7,3,3,7
156,5bcded8f2d94a8000133e068,1,09/26/2020,68045,Nebraska,NE,62,2,1,4,4,4,4,4,2,1,4,1,5,0,1,2
157,5bd6b15f4b4f9e0001137bd9,1,09/26/2020,15212,Pennsylvania,PA,40,1,1,4,4.25,4,6,6,5,3,6,2,5,0,1,5
158,5bdbf2d92562330001b8d056,1,09/26/2020,60640,Illinois,IL,28,1,1,5,5,5,5,6,3,1,5,1,5,0,1,6
159,5bdc8d12b2fff7000189b6f8,1,09/26/2020,49633,Michigan,MI,68,2,2,4,5,5,2,7,6,5,7,5,7,0,1,2
