index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
15,Belgium,118452,10265.070940885109,10016,867.9883036496238,8.455745787323135,19454,1685.8870266772944,16.4235302063283,88982.0,7711.195610558189,3236126.0,280443.2425256033,3.660302472771456,11539326
16,Belize,1992,5103.099518125994,27,69.16851756496077,1.355421686746988,1246,3191.998995775597,62.55020080321285,719.0,1841.9320047854367,0,0,0,390351
17,Benin,2357,199.72628093649507,41,3.4742373858278737,1.7394993635977938,1973,167.18708200581452,83.70810352142554,343.0,29.0649615448527,0,0,0,11801151
18,Bhutan,282,369.5481814822289,0,0.0,0.0,222,290.9209088264355,78.72340425531915,60.0,78.62727265579338,0,0,0,763094
19,Bolivia,135311,11752.783915229797,7965,691.8205015468463,5.886439387780742,95529,8297.416282770708,70.59958170436992,31817.0,2763.547130912242,297101.0,25805.469281866866,45.5437713100932,11513102
20,Bosnia and Herzegovina,27469,8321.42279395504,856,259.3155160954354,3.1162401252320797,20616,6245.383971756421,75.05187666096327,5997.0,1816.7233061031845,0,0,0,3300998
21,Botswana,3172,1376.9136038803613,16,6.94533974214558,0.5044136191677175,710,308.1994510577101,22.383354350567465,2446.0,1061.7688130805057,0,0,0,2303703
22,Brunei,146,336.95210664303386,3,6.923673424171929,2.054794520547945,142,327.7205420774713,97.26027397260275,1.0,2.307891141390643,0,0,0,433296
23,Bulgaria,20833,2976.0931138722394,825,117.85517299210855,3.960063361013776,14634,2090.5364867472927,70.24432390918255,5374.0,767.7014541328381,529292.0,75611.87905859288,3.9360126357473755,7000117
24,Burkina Faso,2056,101.17421634147637,58,2.8541364532128544,2.821011673151751,1335,65.69434767308898,64.931906614786,663.0,32.62573221517453,0,0,0,20321383
25,Burma,13373,247.44001443822566,310,5.735915985631493,2.318103641666043,3755,69.4785952453105,28.0789650788903,9308.0,172.22550320728368,245154.0,4536.073379166139,5.4549385284351875,54045422
26,Burundi,508,44.05677183370789,1,0.0867259288065116,0.19685039370078738,472,40.93463839667347,92.91338582677166,35.0,3.0354075082279057,0,0,0,11530577
27,Cabo Verde,6024,10954.001920223445,60,109.10360478310204,0.9960159362549801,5277,9595.662040673824,87.5996015936255,687.0,1249.2362747665184,0,0,0,549936
28,Cambodia,277,16.801582769752443,0,0.0,0.0,275,16.680271702822825,99.27797833935018,2.0,0.12131106692962053,0,0,0,16486542
29,Cameroon,20838,805.2901666681673,418,16.153723469972835,2.005950667050581,19440,751.2640771681147,93.29110279297439,980.0,37.87236603007985,0,0,0,25876387
30,Central African Republic,4829,1017.6644548077111,62,13.06589277243282,1.283909712155726,1914,403.3567542973616,39.63553530751708,2853.0,601.2418077379167,0,0,0,4745179
31,Chad,1200,75.24981999615974,85,5.3301955830613155,7.083333333333333,1007,63.14714061344406,83.91666666666666,108.0,6.772483799654378,0,0,0,15946882
32,Comoros,479,562.9393189021861,7,8.226670631138418,1.4613778705636742,464,545.310738978318,96.86847599164928,8.0,9.401909292729622,0,0,0,850891
33,Congo (Brazzaville),5089,945.8221757664337,89,16.541201344706742,1.7488701120062882,3887,722.4230295154506,76.38042837492631,1113.0,206.85794490627643,0,0,0,5380504
34,Congo (Kinshasa),10659,122.81288445997957,272,3.133981102647007,2.5518341307814993,10139,116.82144999903677,95.12149357350596,248.0,2.8574533582958,0,0,0,86790568
35,Costa Rica,75760,15009.2292099095,904,179.09639923123268,1.1932418162618796,37841,7496.888101005615,49.94852164730729,37015.0,7333.244709672652,199925.0,39608.23851361083,37.89421032887333,5047561
36,Cote d'Ivoire,19724,766.9767885697283,120,4.66625505112388,0.6083958629081322,19291,750.139384926923,97.80470492800649,313.0,12.171148591681453,0,0,0,25716554
37,Croatia,16593,4017.3846978148554,280,67.79170224722229,1.6874585668655457,15057,3645.498788344379,90.74308443319472,1256.0,304.09420722325433,312406.0,75637.62332944904,5.3113576563830405,4130299
38,Cuba,5597,493.84637592464946,122,10.764562776988964,2.1797391459710562,4893,431.7295546541558,87.42183312488834,582.0,51.352258493504735,613994.0,54175.22096470953,0.9115724257891771,11333484
39,Cyprus,1755,1464.2400052061867,22,18.35514536440804,1.2535612535612535,1369,1142.1906365397547,78.00569800569801,364.0,303.6942233020239,0,0,0,1198574
40,Czechia,68919,6447.527989198082,655,61.27672823060032,0.9503910387556406,33443,3128.66812552056,48.52508016657235,34821.0,3257.583135446922,1365607.0,127755.61680733651,5.0467667491452515,10689213
41,Faroe Islands,467,9593.853359903034,0,0.0,0.0,429,8813.19719785525,91.86295503211991,38.0,780.6561620477844,0,0,0,48677
